English	Spanish	Spanish verb
the man jotted down the name on a page	el hombre apuntó el nombre en una hoja, el hombre anotó el nombre en una hoja	apuntar en, anotar en
the designer juiced up the project	el diseñador dio alegría al proyecto, el diseñador dio vida al proyecto	dar alegría, dar vida
the child jumbled up his words	el niño alteró sus palabras, el niño mezcló sus palabras, el niño confundió sus palabras	alterar, mezclar, confundir
the man jumbled up his things with the woman’s things	el hombre mezcló sus cosas con las cosas de la mujer	mezclar con
the diver jumped in	el buceador se tiró, el buceador se zambulló 	tirar se, zambullir se
the man jumped in the water	el hombre se metió en el agua, el hombre se sumergió en el agua	meter se en, sumergir se en
the speaker jumped in the debate	el orador se involucró en el debate	involucrar se
the child jumped into the pool	el niño se tiró a la piscina, el niño se metió en el agua	tirar se a, meter se en
the employee jumped into the new project	el empleado se involucró en el nuevo proyecto	involucrar se en
the dog jumped on the couch	el perro saltó sobre el sofá	saltar sobre
the woman jumped up	la mujer saltó	saltar  
the broken piece jutted out	la pieza rota sobresalió 	sobresalir
the broken branch jutted out from the tree	la rama rota sobresalió del árbol	sobresalir de
the mathematician kept at the equation	el matemático siguió con la ecuación, el matemático perseveró con la ecuación	seguir con, perseverar con
the dog kept away	el perro mantuvo la distancia, el perro no se acercó, el perro se mantuvo alejado	mantener la distancia, no acercar se, mantener se alejado
the man kept the money back	el hombre guardó el dinero, el hombre reservó el dinero	guardar, reservar
the policeman kept back	el policía se mantuvo lejos	mantener se lejos 
the man kept the child back	el hombre mantuvo lejos al niño	mantener lejos a
poverty kept the people down	la pobreza limitó a la gente	limitar a
the supermarket kept the prices down	el supermercado controló los precios	controlar
the police officer kept the criminal down	el policía sujetó al criminal, el policía reprimió al criminal	sujetar a, reprimir a
the man kept from smoking	el hombre se abstuvo de fumar, el hombre se contuvo de fumar, el hombre se aguantó de fumar	abstener se de, contener se de, aguantar se de
vitamins keep you from sickness	las vitaminas protegen de las enfermedades	proteger de
the president kept the country from war	el presidente alejó el país de la guerra	alejar de
the woman kept in with her neighbours	la mujer se mantuvo en contacto con sus vecinos	mantener se en contacto
the child kept the tears in	el niño contuvo las lágrimas, el niño reprimió las lágrimas, el niño se tragó las lágrimas	contener, reprimir, tragar se
the man kept off the grass	el hombre no pisó el césped 	no pisar
the woman kept off the property	la mujer no entró en la propiedad	no entrar en
the man kept on talking	el hombre siguió hablando, el hombre persistió en hablar, el hombre insistió en hablar	seguir, persistir en, insistir en
the police officer kept the public out	el policía no dejó entrar al público, el policía no dejó pasar al público	no dejar entrar a, no dejar pasar a
the old woman keeled over	la mujer mayor se desplomó, la mujer mayor desfalleció	 desplomar se, desfallecer
the man kept to the diet	el hombre siguió la dieta, el hombre se ajustó a la dieta, el hombre mantuvo la dieta	seguir, ajustar se a, mantener
the child kept to the footpath	el niño se mantuvo en la acera, el niño permaneció en la acera	mantener se en, permanecer en
the couple kept together	la pareja no se separó	no separar se
the guards kept the prisoner under watch	los guardias vigilaron al preso, los guardias mantuvieron bajo vigilancia al preso	vigilar a, mantener bajo vigilancia
the father kept up with the child	el padre mantuvo el ritmo del niño	mantener el ritmo
the politician kept up with the news	el político estuvo al tanto de las noticias	estar al tanto de
the man kept up his hobbies	el hombre mantuvo sus aficiones. el hombre siguió con sus aficiones	mantener, seguir con
the marathon runner kept up	el corredor de maratón aguantó el ritmo, el corredor de maratón mantuvo el ritmo	aguantar el ritmo, mantener el ritmo
the woman keyed in the code	la mujer tecleó el código	teclear
the student kicked against the class structure	el estudiante se opuso a la estructura de la clase	oponer se a
the manager kicked around the idea	el director propuso la idea	proponer
football season kicked off early	la temporada de fútbol arrancó pronto, la temporada de fútbol empezó pronto, la temporada de fútbol comenzó pronto, la temporada de fútbol se inauguró pronto, la temporada de fútbol se inició pronto	arrancar, empezar, comenzar, inaugurar se, iniciar se
the boy kicked over the bin	el chico pateó la papelera	patear
the teacher kicked the student out	el profesor echó al alumno, el profesor expulsó al alumno	echar a, expulsar a
the boy kidded around	el chico bromeaba, el chico correteaba	bromear, corretear
the hunter killed off the animals	el cazador exterminó a los animales, el cazador mató a los animales	exterminar a, matar a
the man kneeled down	el hombre se arrodilló	arrodillar se
the man knocked about his wife	el hombre golpeó a su mujer, el hombre pegó a su mujer, el hombre maltrató a su mujer	golpear a, pegar a, maltratar a
the employees knocked about the idea	los empleados consideraron la idea	considerar
the children knocked the boy around	los niños machacaron al niño, los niños golpearon al niño	machacar a, golpear a
the women knocked around the business idea	las mujeres debatieron la idea del negocio, las mujeres deliberaron la idea del negocio, las mujeres consideraron la idea del negocio, las mujeres discutieron la idea del negocio	debatir, deliberar, considerar, discutir
the news knocked the man back	las noticias bloquearon al hombre	bloquear a
the man knocked back the drinks	el hombre se mamó las bebidas, el hombre se bajó las bebidas	mamar se, bajar se
the house knocked the man back one million euros	la casa nueva sacó al hombre un millón de euros	sacar a
the council knocked down the building	el concejo derribó el edificio, el concejo demolió el edificio	derribar, demoler
the shop knocked down the prices	la tienda abarató los precios, la tienda recortó los precios, la tienda liquidó los precios, la tienda bajó los precios	abaratar, recortar, liquidar, bajar
the car knocked the man down	el coche atropelló al hombre	atropellar a
the child knocked down the game	el niño tiró el juego	tirar
the man knocked off his work	el hombre acabó su trabajo, el hombre terminó su trabajo	acabar, terminar
the company knocks off designer handbags	la empresa copia los bolsos de marca	copiar
the employees knocked off early	los trabajadores salieron pronto, los trabajadores se piraron pronto	salir, pirar se
the boxer knocked out his opponent	el boxeador noqueo su oponente, el boxeador tumbó su oponente 	noquear a, tumbar a
the van knocked over the the pedestrian	la furgoneta arrolló el peatón, la furgoneta atropelló el peatón	arrollar, atropellar
the child knocked over the vase	el niño volcó el jarrón, el niño tiró el jarrón, el niño tumbó el jarrón	volcar, tirar, tumbar
the student knocked together an English essay	el estudiante hizo de prisa una redacción de inglés 	hacer de prisa
the man knocked up the girl	el hombre preñó a la chica	preñar a, embarazar a
the man knocked up his girlfriend   borrar? 	el hombre preñó la mujer	preñar, preñar a, embarazar a 
the students knuckled down to work	los estudiantes se volcaron al trabajo, los estudiantes se esmeraron en el trabajo, los estudiantes se aplicaron al trabajo	volcar se a, esmerar se en, aplicar se a, poner se a
the man lashed out	el hombre atacó	atacar
the woman laughed off the crazy suggestion	la mujer se rió antes la sugerencia loca	reír se antes, reír se de
the man launched into the project	el hombre lanzó de lleno  al proyecto	lanzar se de lleno a 
the man set aside his plans	el hombre aparcó sus planes, el hombre pospuso sus planes	aparcar, posponer
the soldiers laid down their arms	los soldados se rindieron	rendir se, bajar los brazos
the government laid down the law	el gobierno estableció la ley, el gobierno puso la ley, el gobierno impuso la ley	establecer, poner, imponer
the child lay down	el niño se echó, el niño se tumbó 	echar se, tumbar se, acostar se
farmers lay in hay	los granjeros almacenan el heno	almacenar
the man laid into his brother	el hombre atacó a su hermano	atacar a
the company laid off the employees	la empresa prescindió de los empleados, la empresa despidió los empleados, la empresa echó los empleados	prescindir de, despedir a, echar
lay off your sister	no molestes a tu hermana, no fastidies a tu hermana	no molestar a, no fastidiar a
the man laid the newspaper on the table	el hombre puso el periódico sobre la mesa	poner sobre
the artist laid the paint on the canvas	el artista aplicó la pintura sobre el lienzo	aplicar sobre
the stylist laid out the clothes	el estilista compuso la ropa, el estilista dispuso la ropa, el estilista ordenó la ropa, el estilista colocó la ropa	componer, disponer, ordenar, colocar
the man laid out a lot of money 	el hombre desembolsó mucho dinero	desembolsar, dejar
the government laid out the budget	el gobierno expuso el presupuesto	exponer
the boxer laid out his opponent	el boxeador noqueo su oponente	noquear  
the committee laid over the meeting	el comité pospuso la reunión	posponer
the army laid up extra supplies	el ejercitó almacenó suministros	almacenar, colocar
the students lazed around	los alumnos holgazanearon 	holgazanear
the interview led on to a job	la entrevista llevó a un empleo, la entrevista trajo consigo un empleo, la entrevista supuso un empleo 	llevar a, traer consigo, suponer, conducir a 
intensive research led up to the breakthrough	la investigación intensiva llevó al avance	llevar a, conducir a 
the research leads up to the logical conclusion	la investigación lleva a la conclusión lógica	llevar a, conducir a 
the student learned off the rules	el estudiante aprendió de memoria las reglas	aprender de memoria
the man left his wallet behind	el hombre dejó su cartera, el hombre olvidó su cartera	dejar, olvidar
the runner left the other competitors behind	el corredor dejó los otros competidores atrás	dejar atrás
the student left the others behind	el estudiante aplastó los otros	aplastar
leave off smoking	Deja de fumar	dejar de
the contract left out the company name	el contrato omitió el nombre de la empresa, el contrato excluyó el nombre de la empresa, el contrato obvió el nombre de la empresa	omitir, excluir, obviar
the boy let his parents down	el chico decepcionó sus padres	decepcionar a
the fireman let down the ladder	el bombero tiró la escalera	tirar, bajar
the dressmaker let down the hem	la costurera alargó el dobladillo	alargar
the mechanic let down the tyres	el mecánico desinfló los neumáticos	desinflar
the child let go of the balloon	el niño soltó el globo, el niño dejó el globo	soltar, dejar
the man let in the carpenter	el hombre dejó entrar el carpintero	dejar entrar
the man let off the dogs	el hombre dejó en libertad los perros	dejar en libertad, liberar, soltar 
the man let on the secret	el hombre dijo el secreto	decir, revelar, contar
the children let out the dogs	los niños dejaron salir los perros, los niños hicieron salir los perros, los niños soltaron los perros	dejar salir, hacer salir, soltar
the guards let out the prisoners	los guardas liberaron los presos	liberar
the dressmaker let out the dress	la costurera agrandó el vestido	agrandar
the child let out the secret	el niño dijo el secreto, el niño escupió el secreto	decir, escupir, revelar
the man let out a scream		lanzar un grito, dar un grito, pegar un grito
the man let out a scream	se escapó un grito al hombre	escapar se, 
the storm let up	la tormenta paró, la tormenta aflojó	parar, aflojar
the employer levelled with the employee	el empleador se sinceró con el empleado	sincerar se con
the child lay down	el niño se acostó, el niño se tumbó, el niño se echó	acostar se, tumbar se, echar se
the man lifted up the painting	el hombre alzó el cuadro, el hombre elevó el cuadro, el hombre levantó el cuadro, el hombre subió el cuadro	alzar, elevar, levantar, subir
the woman’s face lit up	se iluminó la cara de la mujer	iluminar se
the lamp lit up the room	la lámpara iluminó la habitación	iluminar  
the woman lit up a cigarette	la mujer encendió un cigarrillo	encender
the stressed man lightened up	el hombre estresado se relajó 	relajar se
the man lined up the paintings	el hombre alineó los cuadros	alinear
the teacher lined up the new events	el profesor arregló los eventos nuevos, el profesor programó los eventos nuevos	arreglar, programar, organizar
the boy never lived down his fall	el chico nunca superó la vergüenza de su caída	superar la vergüenza de, superar
the girl lives for her family	la chica vive para su familia	vivir para
the man lives off his parents	el hombre vive de sus padres	vivir de
the man lives on his savings	el hombre se mantiene con sus ahorros, el hombre se sostiene con sus ahorros, el hombre vive de sus ahorros	mantener se, sostener se, vivir de
the dead man´s memory lives on	el recuerdo del muerto perdura, el recuerdo del muerto pervive, el recuerdo del muerto sobrevive	perdurar, pervivir, sobrevivir
the sisters live together	las hermanas conviven	convivir, vivir juntos
the concert lived up to the man´s expectations	el concierto igualó las expectaciones del hombre	igualar
the man lived with his wife	el hombre convive con su mujer, el hombre vive con su mujer	convivir con, vivir con
the woman lived with her decision	la mujer sobrellevó su decisión	sobrellevar
the police locked up the criminal	la policía enchironó el criminal, la policía encerró el criminal 	enchironar, encerrar
the woman longed for help	la mujer ansió ayuda, la mujer deseó ayuda	ansiar, desear, anhelar
the man logged in	el hombre inició la sesión, el hombre abrió la sesión	iniciar la sesión, abrir la sesión
the woman logged on	la mujer se conectó, la mujer inició la sesión	conectar se, iniciar la sesión
the worker logged onto the website	el empleado entró en la página web, la mujer accedió a la página web	entrar en, acceder a
the man logged off	el hombre cerró la sesión, el hombre finalizó la sesión	cerrar la sesión, finalizar la sesión, desconectarse
the woman logged out	la mujer se deslogueó, la mujer cerró la sesión	desloguear, cerrar la sesión, desconectarse
the secretary looked after the paperwork	la secretaria veló por el papeleo, la secretaria se ocupó del papeleo, la secretaria se preocupó por el papeleo	velar por, ocupar se de, preocupar se por, encargar se de
a doctor looks after the sick	un médico cuida los enfermos, un médico cuida de los enfermos	cuidar, cuidar de, cuidar a
the marketing department looks after advertising	el departamento de marketing atiende la publicidad, el departamento de marketing vigila la publicidad	atender, vigilar, ocupar se de 
the undergraduate looked ahead 	el estudiante universitario miró adelante	mirar adelante, mirar hacia adelante
the man looked at the painting	el hombre miró el cuadro	mirar
the woman looked back	la mujer miró atrás	mirar atrás, mirar hacia atrás
the old man looked back	el hombre mayor rememoró	rememorar
the old woman looked back on her past	el mujer mayor recordó su pasado	recordar
the mountain climber looked down on the village	el alpinista oteó el pueblo, el alpinista vislumbró el pueblo	otear, vislumbrar
the man looked down on immigrants	el hombre menospreció los inmigrantes, el hombre despreció los inmigrantes	menospreciar, despreciar
the student looked for the book	el estudiante esperó el libro, el estudiante buscó el libro	esperar, buscar
the man looked forward to the visit	el hombre ansió la visita, el hombre anheló la visita	ansiar, anhelar
the woman looked in on the church	la mujer pasó por la iglesia	pasar por
the police looked into the complaint	la policía investigó la denuncia, la policía revisó la denuncia, la policía miró la denuncia	investigar, revisar, mirar, examinar
the scientists looked into the findings	los científicos estudiaron los resultados, los científicos evaluaron los resultados, los científicos vieron los resultados	estudiar, evaluar, ver, examinar, investigar
the boy looks like his mother	el chico se parece a su madre	parecer se a
the woman looked on the painting	la mujer miró el cuadro, la mujer observó el cuadro, la mujer consideró el cuadro	mirar, observar, considerar
the house looks onto the lake	la casa da al lago	dar a  
the man looked out for dangers	el hombre vigiló los peligros, el hombre estuvo atento a los peligros	vigilar, estar atento a
the girl looked out for her younger brother	la chica cuidó su hermano pequeño, la chica se ocupó de su hermano pequeño	cuidar, ocupar se de, cuidar a
the student looked over his essay	el estudiante inspeccionó su redacción, el estudiante repasó su redacción, el estudiante miró por encima su redacción	inspeccionar, repasar, mirar por encima
the teacher looked round the room	el profesor miro alrededor de la habitación	mirar alrededor de
the detective looked round the crime scene	el agente de policía registró el lugar del delito, el agente de policía reconoció el lugar del delito, el agente de policía chequeó el lugar del delito	registrar, reconocer, chequear
the child looked through the window	el niño miró por la ventana	mirar por
the librarian looked through the books	el bibliotecario buscó entre los libros, el bibliotecario revisó los libros, el bibliotecario registró entre los libros, el bibliotecario ojeó entre los libros	buscar entre, revisar, registrar entre, ojear
the employee looked to his boss	el empleado se volvió hacia su jefe, el empleado miró a su jefe, el empleado recurrió a su jefe	volver se hacia, mirar a, recurrir a
the woman looked to find answers	la mujer buscó las respuestas	buscar  
the students looked up to their teacher	los estudiantes admiraron su profesora, los estudiantes respetaron su profesora, los estudiantes admiraron a su profesora	admirar, respetar, admirar a
the man looked up the best restaurant	el hombre buscó el mejor restaurante	buscar  
the man´s life looked up	la vida del hombre mejoró	mejorar
the students lost out	los estudiantes salieron perdiendo	salir perdiendo, perder
the company mailed out the samples	la empresa despachó las muestras	despachar, enviar, enviar por correo
the student majored in law	el estudiante se especializó en derecho	especializar se en
the girls made for the city	las chicas se dirigieron hacia la ciudad	dirigir se hacia
chocolate makes for happiness	el chocolate conduce a la felicidad, el chocolate da lugar a la felicidad	conducir a, dar lugar a
the director made the book into a movie	el director convirtió el libro en una película, el director transformó el libro en una película	convertir en, transformar en
the criminal made off	el delincuente escapó, el delincuente huyó	escapar, huir, escapar se
the criminal made off with the money	el delincuente se escapó con el dinero, el delincuente se robó el dinero	escapar se con, robar se 
the couple made out	la pareja se liaron	liar se
the decorator made over the house	el decorador redecoró la casa, el decorador remodeló la casa, el decorador renovó la casa, el decorador transformó la casa	redecorar, remodelar, renovar
the man made the cheque over to his son	el hombre cedió el cheque a su hijo, el hombre transfirió el cheque a su hijo, el hombre traspasó el cheque a su hijo	ceder a, transferir a, traspasar a
the boy made up for his bad behaviour	el chico compensó su comportamiento malo, el chico reparó su comportamiento malo	compensar, reparar
the park’s beauty makes up for its small size	la belleza del parque supera su tamaño pequeño	superar, compensar
the fans made up to the actress	los admiradores se congraciaron con la actriz, los admiradores halagaron a la actriz	congraciar se con, halagar a
the boyfriend made it up to his girlfriend	el novio compensó su novia	compensar  
the child made up the story	el niño inventó la historia	inventar
the girl made up her face	la chica se maquilló	maquillar se
the girl made up the sandwich	la chica preparó el sándwich	preparar, hacer
engineers make up the company	ingenieros forman la empresa, ingenieros arman la empresa, ingenieros montan la empresa, ingenieros constituyan la empresa	formar, armar, montar, constituir
the couple made up	la pareja se reconciliaron	reconciliar se
the teacher mapped out the school tour	el profesor planeó la excursión del colegio	planear, planificar
the teacher marked down the exam results	el profesor anotó las notas del examen, el profesor apuntó las notas del examen	apuntar, anotar
the shop marked down the old shoes	la tienda rebajó los zapatos viejos	rebajar
the trainer marked off the football pitch	el entrenador delimitó el campo del fútbol	delimitar
the cat marked out its territory	el gato marcó su territorio, el gato señalizó su territorio	marcar, señalizar
the employee marked up the document	el empleado marcó el documento	marcar  
the shop marked up the prices	la tienda subió los precios	subir el precio
the woman matched up her earrings	la mujer emparejó sus pendientes, la mujer hizo coincidir sus pendientes	emparejar, hacer coincidir
the man´s profile matched up the woman´s profile	el perfil del hombre y el perfil de la mujer se compararon	comparar se, coincidir
the best football player matched up to the new team	el jugador mejor compitió en el nuevo equipo, el jugador mejor rivalizó el nuevo equipo	competir en, rivalizar
the man maxed out his credit card	el hombre agotó su tarjeta de crédito, el hombre exprimió su tarjeta de crédito	agotar, exprimir, llegar al límite
the architect measured up the building	el arquitecto midió el edificio	medir
the boss measured up the employee	el jefe evaluó el empleado	evaluar
the supplies measured up	los suministros sirvieron	servir
the exam nagged away at the student	el examen preocupó el estudiante, el examen atormentó el estudiante	preocupar, atormentar
the carpenter nailed down the flooring	el carpintero clavó el suelo	clavar
the accountant nailed down the figures	el contable determinó las cifras, el contable precisó las cifras	determinar, precisar, detallar
the girl is named after the singer	la niña se llamó por el cantante	llamar se por
the scientist narrowed down the theories	el científico redujo las teorías, el científico restringió las teorías	reducir, restringir
the mouse nibbled away at the cheese	el ratón mordisqueó el queso	mordisquear
the dressmaker nipped off the extra material	la modista recogió la tela extra, la modista cogió la tela extra, la modista sacó la tela extra, la modista quitó la tela extra	recoger, coger, sacar, quitar
the boy nipped off	el chico salió, el chico fue corriendo	salir, ir corriendo
the woman nodded off	la mujer cabeceó 	cabecear
the inspector nosed around	el inspector husmeó, el inspector fisgoneó, el inspector se metió, el inspector fisgó	husmear, fisgonear, meter se, fisgar
the man objected to the fine 	el hombre objetó la multa, el hombre no estuvo de acuerdo con la multa	objetar, no estar de acuerdo con, oponer se a
the priest offered up the sacrifice	el sacerdote sacrificó el sacrificio 	sacrificar, ofrecer
the woman opened out the table	la mujer desplegó la mesa, la mujer abrió la mesa	desplegar, abrir
the sitting room opens out onto the pool	el salón da a la piscina	dar a  
the sitting room opens out to the pool	el salón se abre a la piscina	abrir se a
the sofa opens out to a bed	el sofá se despliega la cama	desplegar se
the victim opened up	la victima se abrió, la victima se sinceró	abrir se, sincerar se
the victim opened up to the psychologist	la víctima se confió al psicólogo 	confir se a
the man opened up the door	el hombre abrió la puerta	abrir  
the majority opted in favour  no me gusta la traducción	la mayoría decidieron tomar parte	decidir tomar parte
the victim passed away	la víctima se fue, la víctima murió, la víctima falleció, la víctima expiró 	ir se, morir, fallecer, expirar
the bus passed by the town	el autobus pasó por el pueblo	pasar por
the pedestrians passed by the beggar	los peatones ignoró el mendigo	ignorar
the man passed down his property	el hombre legó su pertenencias	legar
the teacher passed down good values	el profesor transmitió valores buenos	transmitir
the woman passed for her daughter	la mujer pasó por su hija	pasar por
the parade passed off	la cabalgata transcurrió	transcurrir
the man passed off as an expert	el hombre se hizo pasar por un experto	hacer se pasar por
the student passed on the book	el estudiante pasó el libro	pasar  
the man passed on his belongings	el hombre dejó sus pertenencias	dejar  
the sick child passed on the flu	el niño enfermo contagió a la gripe	contagiar a, transmitir
the boy quarreled with the teacher	el chico discutió con el profesor	discutir con, pelear se con
the fans queued up 	los aficionados hicieron cola	hacer cola
the teacher quietened down the students	la profesora acalló los estudiantes	acallar, calmar a, tranquilizar a
the singer raked in money	el cantante amasó el dinero	amasar
the people rallied around the campaign	la gente se solidarizó con la campaña	solidarizar se con
the teacher reached out to the student	el profesor contactó el estudiante, el profesor localizó el estudiante, el profesor llegó al estudiente	contactar, localizar, llegar a
the president read out the news	el presidente leyó en voz alta las noticias	leer en voz alta
the student read up on the theory	el estudiante investigó la teoría, el estudiante estudió la teoría, el estudiante se documentó la teoría, el estudiante se informó la teoría	investigar, estudiar, documentar se, informar se
the doctor referred to his notes	el medico consultó sus notas	consultar
the email refers to the problem	el email se tratá del problema, el email se refiere al problema	tratar se de, referir se a 
the students reflect on the school	los estudiantes recaen sobre el colegio	recaer sobre
the man reflected on his life	el hombre reflexiónó sobre su vida, el hombre consideró su vida	reflexionar sobre, considerar
the man reflected upon his life	el hombre reflexiónó sobre su vida	reflexionar sobre  
the woman saved up the deposit	la mujer ahorro la fianza	ahorrar
the boy saved up the chocolate	el niño guardó el chocolate, el niño acumuló el chocolate	guardar, acumular
the student screwed up the exam	el estudiante arruinó el examen, el estudiante fregó el examen, el estudiante cagó el examen, el estudiante se cargó el examen	arruinar, fregar, cagar, cargar se, joder
the employee screwed up 	el empleado la cagó, el empleado la jodió, el empleado metió la pata, 	cagar la, joder la, meter la pata
the critic scoped out the best restaurants	el crítico averiguó los restaurantes mejores	averiguar, analizar
the police sealed off the crime scene	la policía acordonó la escena del crímen	acordonar, cerrar
the employee saw about the job	el empleado pensó el trabajo, el empleado consideró el trabajo	pensar, considerar
the teacher saw about the exam	el profesor se encargó del examen	encargar se de
the tennis player saw off the opponent	el tenista corrió al oponente, el tenista despidió al openente	correr a, despedir a
the man saw off the woman	el hombre despidió a la mujer	despedir a
the woman saw through the window	la mujer vio a través de la ventana	ver a través de
the teacher saw through the excuses	la profesora caló las excusas, la profesora adivinó la intención de las excusas	calar, adivinar la intención de
the teacher saw to the student	el profesor se encargó del estudiante, el profesor se ocupó del estudiante	encargar se de, ocupar se de
the storm tailed off	la tormenta se apagó, la tormenta remitió, la tormenta fue disminuyendo	apagar se, remitir se, ir disminuyendo
the girl takes after the family	la niña se parece a la familia, la niña se asemejó a la la familia, la niña salió a la familia	aparecer se a, asemejar se a, salir a
the police took after the robbers	la policía persiguió los ladrones 	perseguir
the mechanic took apart the engine	el mecánico desmontó el motor, el mecánico desarmó el motor, el mecánico deshizo el motor	desmontar, desarmar, deshacer
the teacher took aside the student	el profesor llevó aparte al estudiante, el profesor apartó al estudiante	llevar aparte a, apartar a
the police took away the money	la policía quitó el dinero, la policía requisó el dinero, la policía confiscó el dinero 	quitar, requisar, confiscar
the man took away the animal	el hombre sacó el animal	sacar, llevar se
the woman took back the insult	la mujer retiró el insulto, la mujer se redactó del insulto	retirar, redactar se de
the tax office took back the money	Hacienda recuperó el dinero, Hacienda recobró el dinero, Hacienda reclamó el dinero	recuperar, recobrar,reclamar
the school took back the student	el colegio readmitió el estudiante	readmitir
the man took care	el hombre tuvo cuidado	tener cuidado, cuidar se
the fans urged on the tennis player	los seguidores instaron al tenista, los seguidores alentaron el tenista, los seguidores animaron el tenista	instar a, alentar, animar
the man used up the money	el hombre gastó el dinero, el hombre usó todo el dinero	gastar, usar todo, agotar
the man ushered in the president	el hombre escoltó el presidente, el hombre hizo pasar el presidente	escoltar, hacer pasar
the war ushered in the problems	la guerra marcó el comienzo de los problemas, la guerra marcó el inicio de los problemas, la guerra dio lugar a los problemas, la guerra abrió paso a los problemas	marcar el comienzo de, marcar el inició de, dar lugar a, abrir paso, iniciar
the man vegged out	el hombre holgazaneó, el hombre vagueó 	holgazanear, vaguear
the customer verged on rude	el cliente rayó en grosería , el cliente lindó con grosería	rayar con, lindar con
the candidates vied for the job	los candidatos competieron por el trabajo, los candidatos lucharon por el trabajo	competir por, luchar por
the citizens voted in the president (no me gusta la frase en inglés)	los ciudadanos eligieron por votación el presidente	elegir por votación, votar
the school vouched for the student	el colegio respondió por el alumno	responder por
the children waited around	los niños se quedaron esperando, los niños se esperaron	quedar se esperando, esperar se
the waiter waited on the customers    wait for?	el camarero atendió los clientes	atender 
the woman waited on the bus (no me gusta la traducción) wait for?	la mujer esperó el autobús	esperar  
the children waited up	los niños esperaron despiertos, los niños no se acostaron	esperar despierto, no acostar se
the man woke up	el hombre se despertó	despertar se
the man woke up the children	el hombre despertó a los niños	despertar  a
the woman woke up to the terrible news	la mujer se desayuno con las noticias terribles, la mujer se dio cuenta de las noticias terribles	desayunar se con, dar se cuenta de, despertar se con
the celebrity walked about	el famoso paseó, el famoso deambuló 	pasear, deambular 
the woman walked around	la mujer dio una vuelta	dar una vuelta
the thief walked away with the money	el ladrón se llevó el dinero, el ladrón robó el dinero	llevar se, robar, ir se con 
the woman walked away	la mujer salió, la mujer se marchó, la mujer se fue 	salir, marchar se, ir se
the man yanked on the chain	el hombre tiró de la cadena	tirar de
the child yearned for holidays	el niño deseó las vacaciones, el niño anheló las vacaciones, el niño ansió las vacaciones, el niño se murió por las vacaciones	desear, anhelar, ansiar, morir se por
the man yelled out	el hombre gritó	gritar
the teacher zeroed in on the theory	el profesor se centró en la teoría, el profesor se concentró en la teoría, el profesor se enfocó en la teoría, el profesor dirigió la atención hacia la teoría 	centrar se en, concentrar se en, enfocar se en, dirigir la atención hacia
the woman zipped up the jacket	la mujer subió el cierre de la chaqueta, la mujer abrochó la chaqueta	subir el cierre de, abrochar, abrochar se, subir la cremallera
the camera zoomed in 	la camera hizo zoom, la camera cerró el foco 	hacer zoom, cerrar el foco
the teacher zoomed in on the student	el profesor se centró en el estudiante, el profesor se concentró en el estudiante	centrar se en, concentrar se en  
